"Timestamp","1. What is your age?","2. What is your current level of study?","3. What is your department or field of study?","4. How comfortable are you with using AI-based applications (e.g. chatbots, recommendation systems)?","5. I think I would like to use MindGuard frequently.","6. I found MindGuard unnecessarily complex.","7. I thought MindGuard was easy to use.","8. I think I would need the support of a technical person to be able to use MindGuard.","9. I found the various features in MindGuard were well integrated.","10. I thought there was too much inconsistency in MindGuard.","11. I would imagine that most people would learn to use MindGuard very quickly.","12. I found MindGuard very cumbersome to use.","13. I felt very confident using MindGuard.","14. I needed to learn a lot of things before I could get going with MindGuard.","15. How comfortable were you with the idea of MindGuard passively monitoring browser activity in the background without requiring active input?","16. Did the three risk level categories (Low Risk / Moderate Risk / High Risk) feel clear and easy to understand?","17. Do you have any other comments, suggestions, or observations about MindGuard?"
"2026/06/05 5:12:04 PM GMT+1","18 – 24","400 Level","Computer Science","Somewhat comfortable","5","1","5","2","5","1","5","1","5","2","Neutral","Yes, very clear",""
"2026/06/05 5:34:43 PM GMT+1","18 – 24","Postgraduate (Masters / PhD)","International relations ","Comfortable","5","1","5","1","5","1","5","1","5","1","Very comfortable","Yes, very clear","This is a positive step in promoting, monitoring, and guiding people's mental health. Hopefully it helps to reduce the rate of depression and cyber bullying. A great initiative! "
"2026/06/05 5:51:04 PM GMT+1","18 – 24","400 Level","Computer Science","Comfortable","4","1","4","1","4","1","4","1","4","1","Very comfortable","Yes, very clear",""
"2026/06/05 5:51:39 PM GMT+1","18 – 24","400 Level","Mechatronics","Very comfortable","3","2","4","1","3","2","4","3","3","2","Somewhat comfortable","Somewhat clear","Options of deleting and updating guardian profile "
"2026/06/07 1:47:25 AM GMT+1","18 – 24","500 Level","Computer Science","Very comfortable","4","1","5","1","5","1","5","1","5","1","Very comfortable","Yes, very clear",""
"2026/06/07 1:26:11 PM GMT+1","18 – 24","400 Level","Computer Science","Comfortable","4","1","5","2","5","1","5","1","5","2","Neutral","Neutral","none"
"2026/06/07 1:57:18 PM GMT+1","18 – 24","400 Level","computer science","Somewhat comfortable","4","1","4","2","4","2","4","1","5","1","Somewhat comfortable","Yes, very clear",""
"2026/06/07 2:03:18 PM GMT+1","18 – 24","400 Level","Computer science","Very comfortable","3","4","2","4","4","2","2","4","3","4","Somewhat uncomfortable","Somewhat clear","user should be able to see more insights when tey see the risk severity, not just how severe the risk is"
"2026/06/07 7:48:14 PM GMT+1","25 – 34","Postgraduate (Masters / PhD)","International Relations","Comfortable","3","3","3","5","5","3","5","3","5","5","Neutral","Neutral",""
"2026/06/07 7:48:57 PM GMT+1","18 – 24","400 Level","Computer Science ","Very comfortable","5","1","5","1","5","1","5","1","5","1","Very comfortable","Yes, very clear","Very easy to understand and use"
"2026/06/07 8:15:32 PM GMT+1","35 and above","Postgraduate (Masters / PhD)","Politics and International Relations","Comfortable","5","2","3","2","4","4","5","2","3","4","Neutral","Neutral",""
"2026/06/07 9:09:04 PM GMT+1","Under 18","200 Level","Nursing","Somewhat comfortable","3","3","3","3","3","3","3","3","3","3","Neutral","Neutral","No"
"2026/06/07 9:10:32 PM GMT+1","25 – 34","Non-student / Other","Biotechnology ","Somewhat comfortable","3","3","3","3","3","3","3","3","3","3","Neutral","Neutral",""
"2026/06/07 9:44:55 PM GMT+1","18 – 24","300 Level","Statistics ","Very comfortable","3","3","3","1","1","1","1","1","4","1","Very uncomfortable","Yes, very clear",""
"2026/06/07 9:49:13 PM GMT+1","25 – 34","Postgraduate (Masters / PhD)","Philosophy ","Very comfortable","5","1","5","5","5","1","5","5","5","5","Very uncomfortable","Yes, very clear",""
"2026/06/07 10:13:08 PM GMT+1","18 – 24","Non-student / Other","Microbiology ","Comfortable","3","1","4","3","4","3","4","2","4","3","Very uncomfortable","Somewhat clear",""
"2026/06/07 10:21:42 PM GMT+1","Under 18","Non-student / Other","","Comfortable","3","3","3","3","3","3","3","3","3","3","Neutral","Somewhat clear",""
"2026/06/07 10:30:43 PM GMT+1","35 and above","Postgraduate (Masters / PhD)","Africa Studies ","Very comfortable","3","3","3","3","3","3","3","3","3","3","Neutral","Neutral",""
"2026/06/08 6:49:49 AM GMT+1","25 – 34","Postgraduate (Masters / PhD)","Mathematics ","Comfortable","4","2","3","3","3","3","3","4","3","4","Neutral","Somewhat clear",""
"2026/06/08 7:41:02 AM GMT+1","35 and above","Postgraduate (Masters / PhD)","Politics & International Relations","Comfortable","4","4","4","3","3","4","5","3","5","3","Somewhat comfortable","Somewhat clear",""
"2026/06/08 12:33:51 PM GMT+1","35 and above","Postgraduate (Masters / PhD)","Statistics ","Somewhat comfortable","3","3","3","3","3","3","4","3","3","3","Somewhat uncomfortable","Somewhat clear","No question "
"2026/06/08 3:35:07 PM GMT+1","18 – 24","400 Level","Civil Engineering","Very comfortable","5","2","4","3","5","2","4","2","4","1","Somewhat comfortable","Yes, very clear","No"
"2026/06/08 6:35:47 PM GMT+1","25 – 34","Postgraduate (Masters / PhD)","","Comfortable","4","4","4","4","4","4","4","1","5","1","Very uncomfortable","Yes, very clear",""
"2026/06/08 8:45:01 PM GMT+1","18 – 24","Postgraduate (Masters / PhD)","Accounting ","Very comfortable","4","4","4","2","4","3","4","3","4","3","Somewhat comfortable","Neutral","No"
